"filename", "language", "Lua", "JSON", "JSON with Comments", "HTML", "PowerShell", "C++", "TypeScript", "JavaScript", "CSS", "Makefile", "Markdown", "LaTeX", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Silver\develop\CSOL-Utilities\source\include\ExecutorCommand.hpp", "C++", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\Silver\develop\CSOL-Utilities\source\include\InGameState.hpp", "C++", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 112
"c:\Users\Silver\develop\CSOL-Utilities\source\include\Messenger.hpp", "C++", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\AngleNet.h", "C++", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\CrnnNet.h", "C++", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 44
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\DbNet.h", "C++", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\OcrLite.h", "C++", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 41
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\OcrLiteCApi.h", "C++", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 93
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\OcrLiteImpl.h", "C++", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 65
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\OcrResultUtils.h", "C++", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 36
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\OcrStruct.h", "C++", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\OcrUtils.h", "C++", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 97
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\clipper.hpp", "C++", 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 59, 46, 407
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\getopt.h", "C++", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 45
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\main.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\Silver\develop\CSOL-Utilities\source\include\OCR\version.h", "C++", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Silver\develop\CSOL-Utilities\source\include\WindowCapture.hpp", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 51
"c:\Users\Silver\develop\CSOL-Utilities\source\include\aho_corasick\aho_corasick.hpp", "C++", 0, 0, 0, 0, 0, 493, 0, 0, 0, 0, 0, 0, 0, 0, 27, 82, 602
"Total", "-", 1535, 587, 11, 758, 27, 11247, 1460, 3589, 84, 64, 49, 1062, 367, 50, 2797, 2958, 26645
